rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef,train/ent_coef_loss
74.13,55,21677,416,391,293.83955269999996,-86.66229036119249,12.003716613307144,0.00013756000000000003,16591,0.05586471130149533,-0.9839249606987442
73.84,55,21924,420,398,292.36904260999995,-85.14027581698653,12.572602576103764,0.00012548000000000003,16893,0.055036952260179794,-1.1445174245298773
73.41,54,22098,424,403,292.29904124000007,-85.3859204378995,12.55578368360346,0.00011792000000000002,17082,0.05460715954276649,0.37041952867399563
72.94,54,22272,428,407,293.03336163,-84.3736730176349,13.130040124405262,0.00011080000000000001,17260,0.05471506021743597,0.3892149031162262
72.02,54,22451,432,411,294.22218733,-85.51098111211037,13.27337765207096,0.00010387999999999997,17433,0.054569188049253155,-0.18553443587556176
71.85,54,22778,436,418,286.79419852999996,-83.94106411111765,13.813929977088138,9.228000000000003e-05,17723,0.054640661411244296,0.08995734322173841
72.61,54,23165,440,427,278.66775699000004,-83.53019871221524,13.93871591692773,7.699999999999996e-05,18105,0.055244683557860205,0.4651063651403534
73.63,53,23487,444,435,282.53996533000003,-80.38296329273896,14.020700580933514,6.408000000000002e-05,18428,0.05526423711767968,-0.3969272885690717
74.04,53,23743,448,441,282.90021136999997,-79.25673514918277,14.944785753885904,5.2880000000000036e-05,18708,0.0551846924058178,-0.7682863144498122
72.47,53,23974,452,447,282.31665649,-78.12029603322347,15.422982247670491,4.312000000000005e-05,18952,0.05481472114721934,-0.9314802524944147
70.53,53,24183,456,452,288.91952543,-78.64097875918982,15.747866648548055,3.468000000000005e-05,19163,0.05473396716252813,-0.023726890109620005
68.16,53,24370,460,456,292.50921951,-78.41260604858398,17.01945915222168,2.7000000000000026e-05,19355,0.05472239151597023,-0.2473880660533905
66.58,53,24565,464,460,287.54940135,-79.20510632058848,16.594459015390147,1.976e-05,19536,0.05471208481037099,0.1419984458581261
65.35,53,24740,468,465,285.92263815,-78.51058117178984,18.327052138572515,1.2319999999999997e-05,19722,0.054689552548319795,-0.4818590307651564
64.2,53,24959,472,470,282.84872440000004,-74.92061434294048,20.839715372052108,4.079999999999973e-06,19928,0.054660712548515254,-0.88392912923244
