rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/actor_loss,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss
49.2,144.44372818,9947,114,240,86,-126.56314437866212,4905,0.08526181131601333,0.0006042,-10.482114048004151,12.247684879302978
49.28,142.84097949,10134,119,244,85,-123.31407070159912,5088,0.08131213832114424,0.00059688,-8.631198585033417,12.09342588697161
49.93,152.01483891,10375,124,248,83,-121.33297876726117,5308,0.07739249603790149,0.0005880799999999999,-5.759321555756686,9.003660770884732
51.85,166.54855537999995,10748,133,252,80,-116.6546800032906,5698,0.07208114415407181,0.00057248,-4.86415225578391,18.463724070009977
52.73,179.62696271000002,11009,138,256,79,-114.4682590191181,5955,0.06884365070324677,0.0005622,-4.7139667941973755,13.367859590970554
54.29,189.89726972000005,11338,146,260,77,-110.2661622570407,6278,0.06665972676328434,0.00054928,-0.5463015908195127,10.880992750967703
54.78,198.19213503000003,11550,151,264,76,-113.9658467909869,6511,0.066314936560743,0.00053996,-1.0776880108842664,10.108052113476921
55.1,204.19883135,11736,156,268,75,-112.53170149061415,6699,0.06511702322297626,0.00053244,-1.8230998476346334,10.4222399075826
55.42,209.74167665999997,11930,160,272,74,-106.51398229598999,6885,0.06389461023112138,0.0005250000000000001,-2.185794751470288,10.799215257167816
56.08,217.10838238999997,12156,165,276,73,-109.54221499407733,7091,0.06251616858773762,0.00051676,-1.1122211769775108,9.053636427278873
56.6,214.23414265,12374,170,280,72,-105.6385539933747,7331,0.06162908344584353,0.0005071600000000001,-1.1716185206291723,11.010354715235094
57.22,217.78700846,12601,175,284,71,-103.05731300071433,7539,0.06111739734532656,0.00049884,0.0014520949787563747,10.127041746068883
57.27,218.91185347,12795,180,288,70,-103.19343696756566,7760,0.061271269587760274,0.00049,0.01966099980029654,9.514910251536268
58.77,223.68970097,13129,187,292,70,-105.06479084642628,8054,0.0629483368955081,0.00047824,1.3704167091393773,10.04580616649193
60.14,227.78353808999998,13435,194,296,69,-106.2098759382199,8374,0.06467970986014758,0.00046543999999999996,-0.4644338736931483,9.884213417004316
60.75,234.91172908000004,13769,201,300,68,-107.39491690658942,8689,0.06355186442776424,0.00045284000000000004,0.22313925042385008,9.415364719018704
