rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/actor_loss,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss
36.5,61.75034649999999,146,0,4,954,,,,,,
36.5,56.35735224999999,292,0,8,978,,,,,,
36.5,55.564114999999994,438,0,12,973,,,,,,
36.375,53.8727629375,582,0,16,978,,,,,,
36.1,55.45248205,722,0,20,982,,,,,,
36.0,55.54089812499999,864,0,24,984,,,,,,
36.17857142857143,57.09218178571428,1013,1,28,983,,,,,,
35.9375,56.09362953125,1150,4,32,233,-173.933583711323,143,0.8885450159248552,0.0009720750000000001,-14.264965258146587,520.8742780183491
36.30555555555556,58.00247074999999,1307,8,36,148,-320.2632668984903,291,0.779786999161179,0.000968375,-25.644759564786344,618.9966834815773
36.7,60.691905274999996,1468,13,40,110,-505.6002705891927,455,0.6851022470565069,0.000964275,-33.010237148829866,274.55836305164155
36.40909090909091,59.92192077272727,1602,17,44,93,-661.8420767948545,599,0.6102419906649096,0.0009606749999999999,-38.689200697274046,448.23921519312364
36.0,57.97052754166666,1728,20,48,85,-756.7280919692096,715,0.5589748024940491,0.000957775,-46.200201371136835,405.9486546235926
36.09615384615385,54.64100963461538,1877,23,52,78,-886.4458499484592,864,0.5007022304667367,0.00095405,-44.197008556789825,350.2784881591797
36.232142857142854,53.11006833928572,2029,28,56,71,-991.5689584832443,1018,0.4512197249814084,0.0009502000000000001,-49.75575135883532,400.5573557803505
36.56666666666667,53.09276045000001,2194,33,60,66,-1084.3403766911204,1178,0.40607081535385875,0.0009462,-50.846278958204316,332.58855345191023
36.484375,57.44594171875,2335,36,64,63,-1145.0360226514863,1325,0.36978857546317867,0.000942525,-49.47104607558832,793.5627061797352
36.55882352941177,57.469253455882345,2486,40,68,60,-1191.3325024981832,1473,0.3388837922451108,0.000938825,-47.312187815821446,594.365169081577
