rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/actor_loss,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss
36.25,59.87595950000001,145,0,4,870,,,,,,
36.125,55.024767499999996,289,0,8,912,,,,,,
36.25,54.93470075,435,0,12,939,,,,,,
36.0,55.5656466875,576,0,16,951,,,,,,
36.15,54.74374074999999,723,0,20,958,,,,,,
36.083333333333336,55.76229370833334,866,0,24,964,,,,,,
35.92857142857143,55.81140067857144,1006,1,28,967,,,,,,
36.03125,55.42132115625,1153,4,32,254,-177.37808853540665,150,0.8880339234303205,0.0009252666666666668,-14.436650349543644,542.3429338504106
36.27777777777778,54.751557999999996,1306,7,36,166,-297.2703776640051,293,0.7837010902516982,0.0009157333333333333,-27.3401356865378,479.9886003382066
36.875,54.812276475,1475,11,40,124,-406.1570448764535,461,0.6838489299596742,0.0009045333333333333,-40.71980480815089,183.65733230945676
36.72727272727273,54.355554863636364,1616,15,44,103,-489.84301039751836,616,0.5993517006144804,0.0008942,-54.727379854987646,208.17494426054114
36.708333333333336,55.83368491666666,1762,18,48,93,-539.3966580904447,759,0.5336655103243314,0.0008846666666666667,-64.77555935199445,86.50055332672902
37.0,58.63784613461538,1924,22,52,85,-577.1356856183307,915,0.47056055068969727,0.0008742666666666667,-75.65361041557497,87.60060361536537
37.017857142857146,57.92509267857143,2073,26,56,79,-598.8659981863839,1068,0.4157743172986167,0.0008640666666666667,-83.74967019217355,89.15228838239398
36.833333333333336,56.326450916666666,2210,29,60,75,-611.61474609375,1208,0.37478068636523354,0.0008547333333333334,-84.97997686598036,163.84766642252603
36.828125,58.349940640625,2357,33,64,71,-619.0013217926025,1345,0.33938719145953655,0.0008456000000000001,-91.70476269721985,119.28364205360413
36.705882352941174,58.6771739117647,2496,36,68,68,-607.2897697897519,1485,0.30759795974282655,0.0008362666666666668,-97.23261103910558,126.26563823924346
36.94444444444444,57.824152430555564,2660,40,72,65,-589.1335187639509,1647,0.27536730752104804,0.0008254666666666667,-103.07485398792085,65.76066098894391
36.85526315789474,57.810877039473695,2801,44,76,63,-573.5320524327896,1806,0.24610824006445267,0.0008148666666666667,-107.62447289859547,84.89018103655647
36.525,57.30015034999999,2922,46,80,62,-557.0880568931842,1914,0.2286320313297469,0.0008076666666666667,-107.48193859231883,167.44498430449386
36.476190476190474,56.211434178571416,3064,50,84,60,-541.1976287841796,2054,0.210035103559494,0.0007983333333333334,-107.04960117340087,73.9046703338623
36.47727272727273,54.98738045454545,3210,53,88,59,-520.9866171444164,2197,0.19183998686425827,0.0007888,-111.06305178473977,72.63473275128533
37.23913043478261,53.31099407608695,3426,58,92,58,-493.9880285430373,2394,0.17193874481477237,0.0007756666666666667,-103.70202114707546,37.261359097664815
37.53125,54.157763260416665,3603,63,96,56,-471.2796929253472,2593,0.1536470462878545,0.0007624,-102.57313130696615,44.20195443895128
37.61,55.36492159,3761,67,100,55,-454.48111443770557,2754,0.1405744164397842,0.0007516666666666668,-103.61427005968596,40.240905611138594
37.6,56.056295600000006,3905,71,104,54,-435.31323912085554,2899,0.130181643657568,0.000742,-101.98388876566072,38.755707252316355
37.9,60.11386387,4079,75,108,53,-415.90423098477453,3064,0.1196978222578764,0.000731,-98.52036926963113,34.81632271679965
38.02,60.612258920000016,4237,79,112,53,-398.0725468815984,3228,0.1099738112172565,0.0007200666666666666,-100.63584734942462,29.818868224685257
38.07,59.92325378,4383,83,116,52,-376.4880065917969,3378,0.10182418950966426,0.0007100666666666666,-100.20142015729631,34.807717078072685
38.14,60.235264580000006,4537,86,120,52,-359.6935562860398,3523,0.09483400448447182,0.0007004,-102.78346742902484,27.53434503646124
38.25,60.46351675000001,4691,90,124,51,-342.59557876586916,3681,0.08783953413367271,0.0006898666666666667,-88.2160255432129,54.63551530838013
38.72,64.53953603,4878,94,128,51,-330.62754603794644,3857,0.08161013679844993,0.0006781333333333333,-75.8249632699149,91.11161695207868
38.27,69.14782562999999,4980,97,132,50,-332.59748979048294,3979,0.07827308469197967,0.0006699999999999999,-59.951186266812414,93.60492160103537
